BillingAddressID,streetNo,streetName,unitNo,city,state,country
6398140186,98440,Erica Streets,39,West Christopherbury,MI,Canada
2553811700,12500,Michael Parks,15,West Joannaport,NY,US
7083881264,7122,Scott Inlet,4,Anthonyside,CO,US
5748675491,1748,Johnson Circles,45,Lake Brittany,MI,Canada
8732872059,495,Day Vista,67,South Katherinechester,GU,Canada
5439355071,723,Eric Views,18,Richardland,TX,US
8736182796,91174,Jacqueline Circle,1,Cherylborough,FM,US
0885360876,662,Joseph Loaf,26,Byrdbury,WY,Canada
0254652175,53143,Rojas Rapid,87,Port Williamland,KY,US
1150373472,94920,Kelley Oval,89,Port Davidstad,VT,US
5082932352,12917,Sloan Corners,28,Rogersstad,AS,Canada
4233732069,97090,Garza Ways,99,North Steven,IN,US
4218489524,654,William Camp,38,West Cynthia,VI,Canada
8034067503,899,Gutierrez Common,40,Luisstad,WV,Canada
1446465726,20493,Walls Crossroad,53,Lake Matthewmouth,IA,Canada
0176042292,714,Lawrence Mall,30,Victoriastad,AR,US
3099128693,0154,Ramos Prairie,61,Lake Bradley,MN,Canada
6313439315,307,Wells Valleys,79,Heathermouth,MH,Canada
8340273066,52626,Ashley Stream,78,New Jessicabury,MO,US
0695948263,9853,Mcdonald Circle,20,South Cynthia,SC,Canada
9997723105,05700,Barker Burg,51,Patelhaven,ID,Canada
2679940751,0416,Warner Heights,98,West Albertborough,MN,Canada
6530197694,0381,Casey Tunnel,22,East Sandyville,KY,Canada
3008719033,6550,Morris Ports,25,Lake Maria,MS,Canada
6741201793,1597,Watkins Course,69,Washingtonberg,AR,Canada
3069782854,4943,Barbara Trafficway,99,North Richard,IA,Canada
4084332745,76098,Lisa Vista,69,West Davidmouth,NC,US
0612236249,4423,Martinez Plains,69,Dwayneport,NY,Canada
5351021700,9575,Erin Stream,11,South Sherylstad,IL,US
8147555563,847,George Dam,98,South Katherinebury,ME,Canada
5476780415,9272,Jeremiah Port,98,New Richard,AZ,US
0426219191,882,Kenneth Vista,98,East Mitchellstad,MO,US
8196832151,6692,Jillian Corner,73,New Matthew,TX,Canada
9301647950,17216,Peterson Oval,19,Lake Tanya,MS,Canada
2432668991,555,Garcia Meadows,4,Lake Johnberg,RI,Canada
8715119197,1609,Charles Crossing,72,Lake Alejandra,ID,Canada
6152629485,46146,Gonzalez Pike,88,Port Aimeefurt,AR,Canada
0271785775,96203,Smith Walks,39,Lisaview,NJ,Canada
6609555132,27273,Jennifer Extension,10,Ashleybury,AS,Canada
1367706810,954,Lori Lodge,52,Bradymouth,VT,US
0431642873,574,Wayne Spurs,40,Stephanieton,GU,Canada
3385962159,503,Lisa Village,39,Caitlinton,MP,Canada
9898316615,40539,Brown Ridge,54,Kentmouth,FL,US
8649548392,6866,Melanie Court,100,North Brittanymouth,HI,Canada
0898169597,9183,Eric Radial,72,Lake Ryanburgh,VT,US
1837998479,7384,Powell Dale,10,Murphyville,NC,Canada
6384031148,106,Reed Junctions,7,New Johnland,AS,Canada
