staffID,firstName,lastName,position,department
2615056479,Jason,Hernandez,Doctor,Emergency
4325048581,Gabriel,Gibson,Technician,Emergency
2534247255,Christopher,Kerr,Administrator,Oncology
8088682808,Benjamin,Meyers,Technician,Cardiology
3445117101,Daniel,Baker,Administrator,Radiology
0313742565,Tonya,Sawyer,Technician,Pediatrics
7961873486,Timothy,Jones,Administrator,Pediatrics
3340711814,Brandon,Flores,Nurse,Radiology
5024677344,Gregory,Quinn,Nurse,Pediatrics
5761016024,Ashley,Freeman,Technician,Radiology
4696308268,Kim,Ferguson,Technician,Emergency
8644296397,Dalton,Watson,Nurse,Oncology
7788432782,Ariel,Cook,Technician,Pediatrics
0096888421,Alice,Barrett,Doctor,Pediatrics
4058093420,Jessica,Green,Technician,Emergency
6684700942,Anne,Patterson,Nurse,Cardiology
7142127250,Elijah,Mclean,Technician,Emergency
2923645633,Blake,Davis,Doctor,Emergency
9517924386,Wendy,Brock,Technician,Oncology
9552795156,Sandra,Miller,Administrator,Radiology
0464894397,Christy,Holland,Administrator,Oncology
5732253915,Nathan,Figueroa,Nurse,Cardiology
5539186180,Sarah,Hart,Administrator,Radiology
4862217278,Cynthia,Gordon,Technician,Cardiology
7010925106,Benjamin,Sims,Doctor,Pediatrics
2571554461,Keith,Harvey,Administrator,Radiology
5409741802,Robert,Reese,Nurse,Cardiology
1733285154,Sarah,Hayden,Administrator,Cardiology
5215851260,Mark,Valenzuela,Technician,Radiology
8320665414,Denise,Scott,Technician,Cardiology
2936952713,Kyle,Huang,Doctor,Emergency
6165932206,Grant,Garcia,Technician,Cardiology
6108611439,Lydia,Kidd,Doctor,Pediatrics
1187548703,Andrea,Mosley,Doctor,Emergency
0811582681,Kendra,Robinson,Doctor,Cardiology
4717543557,John,Ford,Administrator,Radiology
5486089017,Michelle,Castaneda,Administrator,Cardiology
1098285572,Mark,Stewart,Administrator,Oncology
3888262587,Brandy,Strickland,Technician,Oncology
1726291652,Derrick,Newton,Technician,Pediatrics
5720874018,Ryan,Tate,Nurse,Oncology
5175430155,Chloe,Rangel,Administrator,Cardiology
7456479827,Susan,Patel,Technician,Radiology
2464927696,Carlos,Walton,Doctor,Pediatrics
5191880305,Kathy,Robinson,Doctor,Emergency
8964680799,Danielle,Stark,Technician,Cardiology
8801319774,Larry,Rodriguez,Doctor,Cardiology
2056897417,Stephanie,Hill,Doctor,Emergency
8982959675,Sandra,Bolton,Technician,Oncology
7576536114,John,Mercado,Administrator,Pediatrics
1365323602,William,Burch,Doctor,Oncology
3860655524,Joseph,Watts,Nurse,Radiology
5462328184,Diana,Alexander,Nurse,Oncology
6924836078,Justin,Neal,Doctor,Cardiology
3455057082,Joshua,Macias,Doctor,Pediatrics
1620222777,Andrea,Davenport,Administrator,Pediatrics
7237859525,Kathryn,Price,Doctor,Radiology
7605449126,Anthony,Tate,Nurse,Emergency
5992775760,Ryan,Bowers,Nurse,Pediatrics
7482678885,Scott,Kennedy,Nurse,Cardiology
1243260272,James,Green,Technician,Emergency
7634103729,Tyler,Goodman,Technician,Pediatrics
2586369079,Elizabeth,Moreno,Administrator,Radiology
2113833257,Rick,Cooper,Nurse,Emergency
3949445308,John,Cummings,Nurse,Cardiology
8394871911,Taylor,Gonzalez,Technician,Oncology
3573504102,Benjamin,Martin,Nurse,Cardiology
2471680754,Ryan,Walker,Technician,Emergency
1822737376,Michael,Williams,Administrator,Oncology
7825699703,Karen,Drake,Nurse,Pediatrics
7585193697,Stephen,Washington,Technician,Pediatrics
4828858994,Steven,Walker,Technician,Oncology
4886004653,Megan,Harris,Nurse,Oncology
6706702395,Patricia,Robbins,Nurse,Radiology
5774000145,Timothy,Ward,Doctor,Emergency
8968170507,Kimberly,Rocha,Technician,Cardiology
4571539318,Christina,Farley,Doctor,Cardiology
3877122102,David,Johnson,Administrator,Emergency
6142388714,Jennifer,Carr,Nurse,Pediatrics
6708762833,Robert,Ali,Doctor,Cardiology
8822395654,Dominique,Young,Technician,Cardiology
0818964630,Sue,Webster,Nurse,Oncology
5185956161,Heather,Woods,Technician,Oncology
1702035484,Derek,Scott,Nurse,Emergency
8996033613,Duane,Nolan,Nurse,Radiology
6860603193,Cody,Lamb,Nurse,Pediatrics
5293265046,Colleen,Flores,Technician,Radiology
7681859246,David,Walsh,Doctor,Cardiology
7427338098,Stephanie,Benson,Technician,Oncology
8763343409,Samantha,Brown,Technician,Oncology
0209177019,Mark,Glass,Technician,Oncology
1979890672,Justin,King,Technician,Emergency
3338841464,Tracey,Velasquez,Administrator,Oncology
1222198749,Crystal,Lambert,Administrator,Emergency
7163042151,Cynthia,Jones,Nurse,Pediatrics
1880832824,John,Knight,Doctor,Pediatrics
9446869536,Wendy,Lin,Technician,Radiology
3147101116,Dorothy,Norman,Nurse,Emergency
0358352329,Kathleen,Ortiz,Doctor,Radiology
7814878134,Lisa,Nelson,Technician,Radiology
6626255653,Mark,Patterson,Doctor,Cardiology
2879960366,Ronald,Stokes,Administrator,Cardiology
4472604189,Jose,Buck,Technician,Radiology
3433303906,Lisa,Heath,Technician,Radiology
