staff_id,first_name,last_name,position,department
362907,Beverly,Peterson,Administrator,Emergency
408772,Sarah,Estes,Doctor,Cardiology
104967,Connor,Cook,Nurse,Oncology
239420,Justin,Wolf,Doctor,Emergency
740686,Martin,Woods,Doctor,Radiology
428175,Makayla,Smith,Technician,Oncology
215988,Catherine,Cooper,Administrator,Pediatrics
561122,Debbie,Aguilar,Technician,Cardiology
839382,Mark,Larson,Technician,Emergency
588170,Jamie,Bryant,Doctor,Pediatrics
132068,Anna,Freeman,Technician,Oncology
428669,Amy,Brown,Nurse,Cardiology
818837,Terri,Jennings,Administrator,Emergency
054410,Raymond,Estrada,Technician,Oncology
730831,Jennifer,Campos,Administrator,Radiology
649012,Melanie,Wang,Technician,Emergency
644297,Theresa,Andrews,Administrator,Radiology
223488,Michael,Garrett,Technician,Radiology
067351,Edward,Davis,Doctor,Oncology
254918,Steven,Pacheco,Doctor,Radiology
524244,Annette,Miles,Doctor,Emergency
164341,Daniel,Bennett,Nurse,Radiology
988803,Frank,Smith,Administrator,Radiology
187918,Edward,Wilkinson,Administrator,Radiology
902084,Trevor,Cameron,Nurse,Emergency
844617,Kelly,Walker,Administrator,Cardiology
311251,Ann,Nichols,Doctor,Oncology
787444,Paul,Ramirez,Administrator,Pediatrics
039638,Andrew,Tucker,Doctor,Radiology
650731,Kevin,Howard,Administrator,Oncology
581160,Sandra,Baldwin,Doctor,Emergency
824667,Kimberly,Boyer,Nurse,Cardiology
000514,Rachel,Rosario,Nurse,Emergency
086980,Breanna,Torres,Administrator,Oncology
073236,Jennifer,Swanson,Nurse,Pediatrics
106038,Robert,Conley,Doctor,Oncology
401712,Amanda,Vasquez,Administrator,Radiology
771818,John,Martinez,Technician,Pediatrics
055317,Thomas,Smith,Doctor,Pediatrics
940699,Gregory,Duncan,Administrator,Pediatrics
363055,David,Rivera,Doctor,Emergency
227753,Kelly,Reilly,Administrator,Cardiology
848735,Jonathon,Foster,Technician,Radiology
854712,Peggy,Fernandez,Technician,Oncology
139577,Kelly,Riddle,Doctor,Cardiology
551227,Patrick,Cook,Technician,Emergency
283317,Kent,Byrd,Administrator,Oncology
941173,Alex,Snyder,Doctor,Radiology
214229,Trevor,Wood,Nurse,Emergency
525825,Hannah,Parker,Administrator,Radiology
206778,Ronald,Harrell,Doctor,Emergency
361435,Philip,Miller,Nurse,Oncology
657650,William,Turner,Nurse,Cardiology
531113,Michele,Livingston,Doctor,Oncology
135479,James,Sharp,Technician,Pediatrics
440560,Melissa,Nelson,Administrator,Radiology
221041,Caleb,May,Technician,Radiology
864163,Christine,Brown,Doctor,Radiology
741690,Michael,Santiago,Nurse,Cardiology
549592,Zoe,Torres,Doctor,Pediatrics
665351,Meghan,Stewart,Technician,Emergency
151642,Hector,Williams,Doctor,Radiology
345392,Lisa,Alexander,Technician,Emergency
795740,Marissa,Gonzalez,Doctor,Emergency
089690,Christopher,Harris,Technician,Oncology
653665,Michael,Carson,Technician,Emergency
275431,Adrian,Adams,Doctor,Emergency
512964,Kristen,Santiago,Administrator,Radiology
416352,Richard,Melton,Doctor,Cardiology
648746,Blake,Quinn,Technician,Radiology
379958,Johnny,Bailey,Technician,Emergency
580500,Lori,Nguyen,Nurse,Cardiology
762535,Isaac,Hamilton,Doctor,Cardiology
334125,Michael,Wilson,Nurse,Oncology
048715,Ernest,Davis,Nurse,Radiology
213320,Christine,Miller,Doctor,Radiology
015939,Erin,Hayes,Administrator,Radiology
567111,Donald,Moore,Doctor,Oncology
949294,Peter,Heath,Technician,Oncology
976069,John,Stevenson,Administrator,Radiology
399689,Antonio,Jackson,Doctor,Pediatrics
043639,Benjamin,Whitehead,Nurse,Emergency
947113,Thomas,Smith,Administrator,Radiology
950985,Tiffany,Lopez,Nurse,Radiology
952455,Jose,Richardson,Technician,Oncology
843369,Christopher,Jensen,Administrator,Cardiology
819524,Frank,Lindsey,Administrator,Pediatrics
718988,Donna,Reed,Administrator,Emergency
473505,Joy,Stanton,Doctor,Pediatrics
693047,Susan,Greene,Technician,Pediatrics
267209,Gregory,Pearson,Administrator,Oncology
732317,Tanya,Davis,Administrator,Emergency
109141,Bonnie,Doyle,Nurse,Pediatrics
449534,Ariel,Love,Administrator,Cardiology
446494,Tyler,Powell,Administrator,Emergency
317591,Amy,Williams,Doctor,Radiology
768424,Nicole,Stone,Nurse,Cardiology
425153,Aimee,Smith,Administrator,Oncology
307773,Angela,Fletcher,Technician,Oncology
700867,Edward,Vaughn,Administrator,Cardiology
646358,Pamela,White,Nurse,Cardiology
087995,Hector,Gonzalez,Technician,Cardiology
680545,James,White,Nurse,Oncology
863217,Brian,Moyer,Administrator,Pediatrics
787595,Donna,Norton,Doctor,Emergency
181260,Ann,Young,Nurse,Pediatrics
869170,Benjamin,Young,Administrator,Oncology
790615,Judith,Terry,Doctor,Cardiology
426373,Thomas,Johnson,Administrator,Pediatrics
883461,Thomas,Obrien,Technician,Pediatrics
627012,Rachel,Barry,Administrator,Pediatrics
340149,Martha,Murray,Nurse,Pediatrics
241373,Melissa,Coleman,Technician,Radiology
163918,James,Suarez,Administrator,Oncology
357312,Michael,Perkins,Technician,Oncology
681032,Jeff,Luna,Administrator,Oncology
108702,Kathleen,Richardson,Technician,Oncology
573273,Sherry,Salas,Technician,Oncology
873010,James,Fowler,Nurse,Pediatrics
908097,Nicholas,Haley,Administrator,Cardiology
879369,Derek,Jackson,Doctor,Radiology
057593,Lindsay,Herrera,Nurse,Cardiology
575235,Christine,Lindsey,Technician,Oncology
182451,Jacqueline,Obrien,Technician,Pediatrics
402578,Mitchell,Swanson,Doctor,Cardiology
967578,Anna,Harris,Administrator,Emergency
765615,Lisa,Brady,Administrator,Radiology
375111,Stacey,Jordan,Doctor,Pediatrics
261260,Mercedes,Lewis,Nurse,Oncology
094897,Amy,Gonzalez,Technician,Emergency
621082,George,Brown,Administrator,Emergency
102644,Robert,Smith,Doctor,Pediatrics
697783,Mary,Carter,Doctor,Oncology
995786,Cheryl,Jensen,Nurse,Pediatrics
899053,Aaron,Johnson,Doctor,Emergency
377917,Amanda,Johnson,Technician,Pediatrics
662116,Rebecca,Todd,Technician,Pediatrics
267148,Brittney,Riley,Administrator,Oncology
038193,Brittany,Wyatt,Technician,Emergency
090933,Tony,Goodwin,Technician,Oncology
029932,Sharon,Archer,Administrator,Cardiology
884381,Jill,Blackwell,Doctor,Emergency
921087,Cynthia,James,Administrator,Pediatrics
666571,Jeremy,Humphrey,Administrator,Pediatrics
718528,Patricia,Scott,Administrator,Radiology
188409,John,Velazquez,Doctor,Oncology
102346,Alicia,Allen,Nurse,Emergency
166926,April,Cross,Nurse,Oncology
195920,Amanda,Buck,Technician,Oncology
060664,Jody,Meyer,Technician,Emergency
315678,Nicholas,Watson,Technician,Emergency
175346,James,Hunt,Nurse,Cardiology
642670,David,Walker,Technician,Pediatrics
606827,Tina,Meyer,Administrator,Emergency
865646,Richard,Taylor,Nurse,Pediatrics
809084,Glenn,Smith,Doctor,Oncology
335381,Nathaniel,Smith,Doctor,Radiology
