patient_id,phone_number
6063167320,+1-268-452-3655x994
6063167320,7576848082
6063167320,+1-814-618-7514x68949
5506324355,545-815-4268x07151
5506324355,566.550.2247x04895
2649214782,224.235.1139x98466
2649214782,001-534-510-2067x3538
2649214782,001-469-357-9295x213
9694068220,(502)529-8802x4907
9694068220,573.224.5531x50660
5863968055,+1-396-509-4210x721
8960899052,840-447-8037x7560
0855655016,333.824.7634x32529
3712376485,+1-787-648-3922x5010
2552972996,819-292-4041
2552972996,330-787-0894x4327
2552972996,001-723-962-7875x745
8759820652,+1-405-893-2520x144
9084222294,+1-530-383-5889x206
3492132392,+1-957-968-7062
3492132392,001-777-305-8373
0360026548,633-234-1364
0360026548,340-326-1099
0360026548,(502)536-3285
7424026363,(981)516-7720x32712
7424026363,533.819.7312
9100656003,+1-269-839-8525x173
8400691482,230.439.2974
8400691482,951.404.0602x079
3304186552,(705)228-0379x718
6853119416,(530)522-6666
3641048591,+1-807-606-5101x21637
1662389641,(463)810-3708
1662389641,761.329.9609
1662389641,766.834.8864x345
4392770979,6859951455
3354651965,(864)800-8720x27796
3354651965,761-585-9986x8899
3354651965,984.833.8397x18531
7846879816,(944)221-0091x2956
6826903626,(504)867-8085
6826903626,671-389-6404x297
6826903626,2934197519
6900902451,(401)268-5139
6900902451,666-967-1054x65054
6900902451,777.647.7544x652
5442408301,+1-482-489-4675x6156
3615736965,654.535.7703
3615736965,692.926.0566x4336
3615736965,880.403.7792
6635958458,508-753-7156
6635958458,361.217.6522
6635958458,757-585-4660
0228703886,9505966136
0228703886,+1-938-619-3721
8154938267,(995)906-6459x6972
6034131466,001-562-912-9851x6392
6034131466,225-673-4965
3653372300,(563)849-5012x80535
3653372300,+1-969-533-3422x055
7408701855,001-510-337-7113x16171
9371180943,609.333.0766
9371180943,(220)881-6250x891
9005302310,+1-713-705-1390x8964
9005302310,322-342-4089x14781
4153265317,(418)767-3012x41460
4153265317,+1-713-802-1899x71626
0905162782,001-900-634-0624x138
0905162782,(919)940-0986x6147
0905162782,001-213-679-6924
2530767248,625-604-1941x60053
7333527183,001-816-476-7404x0267
7333527183,869-570-0645x4869
7333527183,288.815.7597
8711843082,(946)682-3881x495
8711843082,986.571.8254x107
0456953647,+1-933-337-8440x79800
0456953647,771-449-6714
0456953647,426.845.9158x446
7285210275,957-784-4140x5674
7285210275,584-718-7222x05046
7285210275,+1-900-576-2302x75138
0725667752,929-225-6960x6794
0725667752,926-348-3417x7919
0725667752,598-263-6192x830
7145857358,+1-578-853-9584x30159
6165917719,001-547-567-7152x14153
1820269067,408.820.8669x755
2226504018,(752)942-4403x83897
2226504018,(308)526-0101
0029639335,(878)659-2953
8333545648,(258)989-7547x2331
8333545648,(618)587-6561x8366
7444995836,+1-662-280-5627
7444995836,603.309.7238x991
