staff_id,first_name,last_name,position,department
043617,John,Ayers,Nurse,Cardiology
224563,Maria,Wright,Nurse,Cardiology
307921,Elaine,Haas,Technician,Oncology
512414,Brandon,Moore,Nurse,Cardiology
285879,Ann,Johnson,Technician,Radiology
770513,Christine,Garcia,Nurse,Oncology
176611,Christy,Blair,Nurse,Oncology
032155,Michael,Robles,Doctor,Emergency
059550,Gregory,Wells,Doctor,Pediatrics
151674,Kimberly,Manning,Doctor,Pediatrics
250312,Travis,Griffin,Nurse,Oncology
369053,Sarah,Martin,Technician,Oncology
285887,Brandon,Hernandez,Nurse,Oncology
443930,Ruben,Hernandez,Administrator,Oncology
587018,Andrew,Scott,Nurse,Radiology
531516,Mark,Riddle,Doctor,Cardiology
723533,Sherri,Schroeder,Technician,Cardiology
148825,Robert,Martin,Administrator,Radiology
196387,Christina,Griffin,Administrator,Cardiology
606606,Brandi,Brown,Nurse,Cardiology
940685,Jonathan,Marsh,Technician,Cardiology
678716,Lucas,Patterson,Technician,Cardiology
498258,David,Frank,Technician,Cardiology
895634,Christopher,Christensen,Nurse,Radiology
318158,Jonathan,Estrada,Doctor,Radiology
412958,Logan,Terrell,Nurse,Oncology
833585,Eric,Scott,Technician,Emergency
314397,Parker,Brandt,Nurse,Oncology
906195,Madison,Owens,Administrator,Pediatrics
937618,Lisa,Vazquez,Technician,Radiology
312543,Christopher,Petty,Nurse,Oncology
600974,Kathleen,Boyd,Doctor,Radiology
277545,Ana,Smith,Administrator,Oncology
523845,Summer,Wheeler,Administrator,Cardiology
074987,Steven,Jones,Nurse,Emergency
966483,Jacob,Eaton,Administrator,Oncology
908715,Nancy,Tyler,Nurse,Emergency
026636,Jasmine,Mahoney,Doctor,Pediatrics
980580,Katie,Fisher,Doctor,Pediatrics
489598,William,Tyler,Administrator,Pediatrics
